section,item,type,help,required,critical,weight,min,max,unit,options,failing options,photo,photo on fail,note on fail,raise action,status
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Sneeze Guard Posts,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Countertop,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Sprinkling Board,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Menu Holder,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Tip Jar,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Cookie Display,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Organization,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Counter/Sneeze Guard/Digital Line,Current Signage,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Drop-In Cooler(s),Bay,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Drop-In Cooler(s),Condenser Area,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Drop-In Cooler(s),Filter,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Drop-In Cooler(s),Piping,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Slicer(s),Fully Serviced,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Slicer(s),Sharp Blade,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Slicer(s),Stones,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Slicer(s),Oil,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Slicer(s),Clean,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Slicer(s),Date of last servicing,text,,no,,,,,,,,,,,,
SERVICE COUNTERS · POS,Touch Screen,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · POS,Mouse/Keyboard,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · POS,Printer(s),pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · POS,Display,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · POS,Wires organized,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · POS,Scanner,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · POS,CFT,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Under Counter,Shelving,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Under Counter,Walls,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Under Counter,Supports,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Under Counter,Organized,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Rear Counter,Shelving,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Rear Counter,Walls,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Rear Counter,Doors,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Communication,Phone,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Communication,Printer,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Ceiling,Light Bulbs,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Ceiling,Light Lenses,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Ceiling,Ceiling Tiles,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Ceiling,Ceiling Tracking,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Ceiling,Ceiling Vents,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Floors,Tile,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Floors,Grout,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Floors,Baseboards,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Floors,Floor Drains,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS · Floors,Organized,pass fail,,yes,no,1,,,,,,,,yes,yes,
SERVICE COUNTERS (2) · Back Door,Door,pass fail,,yes,no,1,,,,,,,,yes,yes,
